,,0
906,Goal!: The Dream Begins,38
907,Diary of a Wimpy Kid: Rodrick Rules,15
908,Midnight Run,7
909,"Run, Fatboy, Run",13
910,Queen of the Damned,6
911,Disaster Movie,15
912,Little Children,39
913,The Hustler,30
914,Half Nelson,38
915,Rumble in the Bronx,12
916,Pride and Glory,26
917,Mr. Smith Goes to Washington,35
918,Hart's War,30
919,Stigmata,5
920,Joe Dirt,22
921,The Love Guru,13
922,The Lords of Salem,24
923,Promised Land,9
924,Black Snake Moan,38
925,The Vatican Tapes,24
926,Black Rain,37
927,Kingpin,16
928,Aliens in the Attic,32
929,How to Lose Friends & Alienate People,20
930,A Nightmare on Elm Street 5: The Dream Child,5
931,Blast from the Past,16
932,Gosford Park,18
933,Lake Placid,6
934,Doctor Zhivago,35
935,Alfie,29
936,The Big Year,31
937,Time Bandits,14
938,Stripes,11
939,Fish Tank,38
940,Mystery Men,33
941,Monster's Ball,35
942,The Immigrant,39
943,Dick Tracy,12
944,An Inconvenient Truth,2
945,Rubber,15
946,After.Life,24
947,The Legend of Bagger Vance,28
948,Session 9,5
949,Road House,37
950,Swingers,23
951,License to Wed,31
952,Free Birds,15
953,Friday the 13th Part III,5
954,The Astronaut's Wife,37
955,The Runaways,9
956,Battlefield Earth,37
957,Jersey Boys,38
958,Sunshine Cleaning,17
959,Showgirls,30
960,Executive Decision,37
961,Dangerous Liaisons,35
962,The Debt,36
963,Winnie the Pooh,32
964,A Man Apart,28
965,The Tale of Despereaux,32
966,Young Guns,37
967,The Homesman,38
968,The Wild Bunch,14
969,Million Dollar Arm,38
970,Ladyhawke,7
971,Ida,9
972,The Boondock Saints II: All Saints Day,25
973,In the Valley of Elah,26
974,White Noise,24
975,Little Man,17
976,Open Range,14
977,Going the Distance,13
978,The Devil Inside,24
979,Escape from the Planet of the Apes,6
980,Enough,28
981,K-19: The Widowmaker,28
982,The Man Who Shot Liberty Valance,14
983,The Spanish Apartment,16
984,Firewall,24
985,Red Planet,12
986,The Return of the Living Dead,11
987,Halloween II,24
988,Murder by Numbers,18
989,When a Stranger Calls,24
990,Logan's Run,37
991,The Jungle Book 2,10
992,Hudson Hawk,3
993,The Adventures of Sharkboy and Lavagirl,4
994,I Spy,12
995,Day of the Dead,27
996,Wag the Dog,11
997,The Cold Light of Day,34
998,Flyboys,36
999,Escobar: Paradise Lost,36
1000,The Second Best Exotic Marigold Hotel,39
1001,Freddy's Dead: The Final Nightmare,6
1002,"Good Night, and Good Luck.",9
1003,The Railway Man,38
1004,The Grandmaster,36
1005,Crazy Heart,39
1006,Baby's Day Out,3
1007,Oliver Twist,36
1008,Dark Water,34
1009,It Happened One Night,29
1010,The Doors,30
1011,Confessions of a Dangerous Mind,18
1012,Max,36
1013,Flight of the Phoenix,37
1014,The Beaver,9
1015,Unfaithful,28
1016,Did You Hear About the Morgans?,31
1017,Black Book,26
1018,The Whole Ten Yards,22
1019,High Plains Drifter,2
1020,Sweet November,35
1021,The Client,18
1022,Double Jeopardy,27
1023,Out of Africa,30
1024,Kids,0
1025,The Diary of a Teenage Girl,9
1026,The Sweetest Thing,23
1027,Think Like a Man,20
1028,Bottle Rocket,23
1029,A Nightmare on Elm Street 4: The Dream Master,5
1030,A Streetcar Named Desire,30
1031,The Eye,34
1032,The Piano,35
1033,Timecop,12
1034,Vertical Limit,33
1035,The Diving Bell and the Butterfly,38
1036,The Grudge 2,24
1037,Agent Cody Banks,6
1038,Hope Springs,13
1039,Dreamgirls,38
1040,The Guilt Trip,31
1041,Chain Reaction,37
1042,The Last Castle,37
1043,Stake Land,19
1044,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,3
1045,Inside Job,2
1046,Machine Gun Preacher,36
1047,Basic,27
1048,Seed of Chucky,11
1049,The Black Dahlia,38
1050,Charlotte's Web,32
1051,Anonymous,26
1052,The Covenant,4
1053,The Weather Man,17
1054,The Midnight Meat Train,34
1055,The Devil's Own,18
1056,Earth to Echo,15
1057,Urban Legend,5
1058,Return to Never Land,3
1059,The Outsiders,0
1060,Waltz with Bashir,1
1061,The Color of Money,30
1062,Fatal Attraction,18
1063,Jason X,27
1064,New Nightmare,37
1065,Adore,9
1066,Fantasia 2000,10
1067,Lakeview Terrace,26
1068,The Horse Whisperer,35
1069,Do the Right Thing,30
1070,Be Cool,39
1071,Wimbledon,23
1072,Brooklyn's Finest,26
1073,Heavenly Creatures,11
1074,Punisher: War Zone,34
1075,Arbitrage,34
1076,Risen,36
1077,All About Steve,31
1078,Something Borrowed,20
1079,Ghosts of Mars,6
1080,Shall We Dance?,16
1081,Looney Tunes: Back in Action,10
1082,Death Sentence,19
1083,The Santa Clause 2,10
1084,Jackass Number Two,15
1085,Kiss of the Dragon,12
1086,Out of Time,27
1087,Changing Lanes,12
1088,Labor Day,38
1089,Jeepers Creepers 2,5
1090,Midnight Cowboy,30
1091,Appaloosa,26
1092,My Bloody Valentine,24
1093,The Postman,28
1094,Wish I Was Here,39
1095,Alex Cross,19
1096,The Informant!,36
1097,On the Road,39
1098,Finding Forrester,30
1099,The Saint,37
1100,Get Shorty,27
1101,Bandits,7
1102,Flashdance,23
1103,Honey,11
